abk_bahnhof,Name Haltestelle,lat,lon
MELN,Mellikon,47.56848468,8.352510715
FCKH,Frick Hübeli,47.501546,8.02326883
ECTS,Les Echets,46.43218,6.944890006
LEI,Leibstadt,47.5932392,8.16555706
ZVBO,Zürich Vorbahnhof Ost,47.38300058,8.520567758
SILS,Sils im Domleschg (Abzw),46.70028,9.458599996
ROBO,Rotenboden,45.98446753,7.765370346
VUAP,La Vuarpillière,46.39891999,6.217250002
SAOS,Sargans Ost,47.0432061,9.448949793
UWWI,"Unterwasser, Wäldli",47.19786065,9.318477775
SCRN,Scheuren,47.3226,8.659549997
AU,Au ZH,47.24681794,8.643725909
ZWIP,Zürich Wipkingen,47.39303887,8.529382371
ZGV,Zürich HB Cargo GV,47.38438859,8.514426444
TOEM,Tössmühle,47.47382135,8.70621045
ARN,Arnegg,47.44200165,9.252025002
BAE,Bäch SZ,47.20098164,8.727174269
MSET,Tunnel Bahnhof Museumstrasse,47.37937303,8.53928939
LIEB,Liebegg,47.40812352,9.368919672
HGTN,Hirschengrabentunnel II,47.36959241,8.547858636
BGH,Burghalden,47.2086739,8.692719077
ULKI,"Ulrichen, Kirche",46.50655868,8.305036633
ETKA,"Ebnat, Kappel",47.26689504,9.118777105
ETGB,"Ebnat, Gieselbach",47.25948533,9.135115665
ECLT,Tunnel d'Eclépens (Mormont),46.6587997,6.551884353
SLN,Sisseln,47.54563661,7.993095037
WGAT,Windgällentunnel,46.77111113,8.673231969
MGPG,Galleria Precassino-Meggiagra,46.1430149,8.954586869
MGTS,Mittalgrabentunnel Süd,46.32306176,7.757270422
HEIM,Heimbach (Spw),47.04730574,8.299501699
AVRC,Avry,46.78509123,7.079434004
ESW,Einspurtunnel Wöschnau,47.38284793,8.021504189
STSA,St-Saphorin,46.47259371,6.797033689
PFAD,"Pfaffnau, Dorfplatz",47.22884502,7.899346148
LVE,Le Verney (embr),46.48800085,6.763068274
EWUW,Etzwilen Unterwerk,47.66176288,8.818755789
WIKA,"Wikon, Hotel Adelboden",47.26847906,7.961888275
ROPO,"Roggliswil, Post",47.21084765,7.885317844
CR,Croy-Romainmôtier,46.69671232,6.478116269
LON,Lonay-Préverenges,46.52313563,6.519544737
SCLC,St-Cergue Les Cheseaux,46.44688,6.147279994
GIVI,Givrins,46.42885,6.205220005
CRTT,Tunnel des Crêtes,46.44642229,6.883142768
VISB,"Visp, Schwimmbad",46.29754044,7.872738826
TRUN,Trun,46.74254,8.990440002
DENA,Denges A (bif),46.52955079,6.541811254
ARCA,Archy A (bif),46.54349359,6.563771693
DAYO,Le Day Ouest,46.71737322,6.400491455
DTF,Dietfurt,47.34455188,9.07832029
BEDI,Bernina Diavolezza,46.44179,9.982290005
SL,St-Léonard,46.25148858,7.419568233
TCOE,Tunnel des Combes Est,46.72562165,6.453269953
BALL,Ballens,46.55226,6.374459998
ONBP,Onnens-Bonvillars PMP,46.8311373,6.684652022
AISN,Airolo Schaltposten,46.52603607,8.593400387
WAKW,Wassen Kraftwerk,46.71568209,8.610224723
